clientname,accountno,quantity,security
ELARASEC,ARBITRAGE,20925,ZYDUSLIF IS EQUITY
ELARASEC,ARBITRAGE,5709960,YES IS EQUITY
ELARASEC,ARBITRAGE,60548,VEDL IS EQUITY
ELARASEC,ARBITRAGE,237263,VBL IS EQUITY
ELARASEC,ARBITRAGE,7830,UTCEM IS EQUITY
ELARASEC,ARBITRAGE,105690,UPLL IS EQUITY
ELARASEC,ARBITRAGE,18660,UNITDSPR IS EQUITY
ELARASEC,ARBITRAGE,22628,TVSL IS EQUITY
ELARASEC,ARBITRAGE,37905,TTAN IS EQUITY
ELARASEC,ARBITRAGE,14085,TRENT IS EQUITY
ELARASEC,ARBITRAGE,143910,TPWR IS EQUITY
ELARASEC,ARBITRAGE,11760,TIINDIA IS EQUITY
ELARASEC,ARBITRAGE,3675,TELX IS EQUITY
ELARASEC,ARBITRAGE,20340,TECHM IS EQUITY
ELARASEC,ARBITRAGE,16961,TCS IS EQUITY
ELARASEC,ARBITRAGE,7208,TATACONS IS EQUITY
ELARASEC,ARBITRAGE,600600,TATA IS EQUITY
ELARASEC,ARBITRAGE,30765,SUNP IS EQUITY
ELARASEC,ARBITRAGE,48878,SONACOMS IS EQUITY
ELARASEC,ARBITRAGE,8070,SOIL IS EQUITY
ELARASEC,ARBITRAGE,86130,SHFL IS EQUITY
ELARASEC,ARBITRAGE,146363,SBIN IS EQUITY
ELARASEC,ARBITRAGE,360555,SAMMAANC IS EQUITY
ELARASEC,ARBITRAGE,917205,SAIL IS EQUITY
ELARASEC,ARBITRAGE,175500,RELIANCE IS EQUITY
ELARASEC,ARBITRAGE,144060,RECL IS EQUITY
ELARASEC,ARBITRAGE,433388,RBK IS EQUITY
ELARASEC,ARBITRAGE,186420,POWF IS EQUITY
ELARASEC,ARBITRAGE,11306,POLYCAB IS EQUITY
ELARASEC,ARBITRAGE,92040,PNBHOUSI IS EQUITY
ELARASEC,ARBITRAGE,811200,PNB IS EQUITY
ELARASEC,ARBITRAGE,14175,PIDI IS EQUITY
ELARASEC,ARBITRAGE,45566,PAYTM IS EQUITY
ELARASEC,ARBITRAGE,66015,PATANJAL IS EQUITY
ELARASEC,ARBITRAGE,365625,NYKAA IS EQUITY
ELARASEC,ARBITRAGE,1414463,NMDC IS EQUITY
ELARASEC,ARBITRAGE,23550,NEST IS EQUITY
ELARASEC,ARBITRAGE,2723,MUTH IS EQUITY
ELARASEC,ARBITRAGE,167400,MRCO IS EQUITY
ELARASEC,ARBITRAGE,658665,MOTHERSO IS EQUITY
ELARASEC,ARBITRAGE,49350,MM IS EQUITY
ELARASEC,ARBITRAGE,159750,MGFL IS EQUITY
ELARASEC,ARBITRAGE,61189,MAXHEALT IS EQUITY
ELARASEC,ARBITRAGE,38040,MAXF IS EQUITY
ELARASEC,ARBITRAGE,7898,LTIM IS EQUITY
ELARASEC,ARBITRAGE,10395,LT IS EQUITY
ELARASEC,ARBITRAGE,34965,LODHA IS EQUITY
ELARASEC,ARBITRAGE,32970,LICI IS EQUITY
ELARASEC,ARBITRAGE,189600,LICHF IS EQUITY
ELARASEC,ARBITRAGE,73058,LAURUS IS EQUITY
