Account,Security,Price,Side,Quantity,Broker,Reason,LongNote1
ARBITRAG,ABCAP IS Equity,321.8024,B,96100,ICICISEC,1,
ARBITRAG,ABCAP=G6 IS EQUITY,323.258,H,31,ICICISEC,1,45
ARBITRAG,BAF IS Equity,901,B,750,ICICISEC,1,
ARBITRAG,BAF=G6 IS EQUITY,904.45,H,1,ICICISEC,1,38
ARBITRAG,BHEL IS Equity,254.6217,B,5250,ICICISEC,1,
ARBITRAG,BHEL=G6 IS EQUITY,255.85,H,2,ICICISEC,1,48
ARBITRAG,BOI IS Equity,150.2174,B,67600,ICICISEC,1,
ARBITRAG,BOI=G6 IS EQUITY,150.89,H,13,ICICISEC,1,45
ARBITRAG,EXID IS Equity,311.8856,B,16200,ICICISEC,1,
ARBITRAG,EXID=G6 IS EQUITY,314.3944,H,9,ICICISEC,1,80
ARBITRAG,IDFCF=G6 IS EQUITY,80.45,H,1,ICICISEC,1,26
ARBITRAG,IDFCFB IS Equity,80.2436,B,9275,ICICISEC,1,
ARBITRAG,INBK IS Equity,816.7607,B,1000,ICICISEC,1,
ARBITRAG,INBK=G6 IS EQUITY,820.2,H,1,ICICISEC,1,42
ARBITRAG,INDIG=G6 IS EQUITY,4605.2,H,3,ICICISEC,1,40
ARBITRAG,INDIGO IS Equity,4586.9644,B,450,ICICISEC,1,
ARBITRAG,INFOE IS Equity,1228.9966,B,5250,ICICISEC,1,
ARBITRAG,INFOE=G6 IS EQUITY,1234.75,H,14,ICICISEC,1,47
ARBITRAG,JIOFI=G6 IS EQUITY,241.4,H,2,ICICISEC,1,46
ARBITRAG,JIOFIN IS Equity,240.3,B,4700,ICICISEC,1,
ARBITRAG,MGFL IS Equity,264.5447,B,15000,ICICISEC,1,
ARBITRAG,MGFL=G6 IS EQUITY,265.1,H,5,ICICISEC,1,40 DVD 00.50
ARBITRAG,NACL IS Equity,360.7868,B,15000,ICICISEC,1,
ARBITRAG,NACL=G6 IS EQUITY,357.925,H,4,ICICISEC,1,45 DVD 04.50
ARBITRAG,PGEL IS Equity,534.7474,B,1900,ICICISEC,1,
ARBITRAG,PGEL=G6 IS EQUITY,537.15,H,2,ICICISEC,1,45
ARBITRAG,PHNX IS Equity,1626.4358,B,1050,ICICISEC,1,
ARBITRAG,PHNX=G6 IS EQUITY,1633.9333,H,3,ICICISEC,1,46
ARBITRAG,PLNG IS Equity,282.6349,B,47500,ICICISEC,1,
ARBITRAG,PLNG=G6 IS EQUITY,283.896,H,25,ICICISEC,1,45
ARBITRAG,PNBHO=G6 IS EQUITY,805.0125,H,4,ICICISEC,1,48
ARBITRAG,PNBHOUSI IS Equity,801.1726,B,2600,ICICISEC,1,
ARBITRAG,TCS IS Equity,3149.5381,B,700,ICICISEC,1,
ARBITRAG,TCS=G6 IS EQUITY,3161.775,H,4,ICICISEC,1,17
ARBITRAG,TMPV IS Equity,359.9203,B,4000,ICICISEC,1,
ARBITRAG,TMPV=G6 IS EQUITY,361.63,H,5,ICICISEC,1,48
ARBITRAG,TTAN IS Equity,3938.0189,B,2625,ICICISEC,1,
ARBITRAG,TTAN=G6 IS EQUITY,3956.0466,H,15,ICICISEC,1,46
ARBITRAG,UPLL IS Equity,678.3455,B,31165,ICICISEC,1,
ARBITRAG,UPLL=G6 IS EQUITY,681.4369,H,23,ICICISEC,1,46
ARBITRAG,ZYDUS=G6 IS EQUITY,870.5,H,2,ICICISEC,1,45
ARBITRAG,ZYDUSLIF IS Equity,866.6087,B,1800,ICICISEC,1,
ARBITRAG,DALBH=G6 IS EQUITY,2037.7454,C,11,ICICISEC,2,15
ARBITRAG,DALBHARA IS Equity,2034.7088,S,3575,ICICISEC,2,
ARBITRAG,DIXON IS Equity,10270,S,50,ICICISEC,2,
ARBITRAG,DIXON=G6 IS EQUITY,10286,C,1,ICICISEC,2,16
ARBITRAG,INFO IS Equity,1632.3445,S,12000,ICICISEC,2,
ARBITRAG,INFO=G6 IS EQUITY,1633.97,C,30,ICICISEC,2,10
ARBITRAG,JSW IS Equity,445.2721,S,3000,ICICISEC,2,
ARBITRAG,JSW=G6 IS EQUITY,446.2,C,3,ICICISEC,2,21
ARBITRAG,LICHF IS Equity,491.5981,S,11000,ICICISEC,2,
ARBITRAG,LICHF=G6 IS EQUITY,492.4909,C,11,ICICISEC,2,18
ARBITRAG,LODHA IS Equity,954.4341,S,1800,ICICISEC,2,
ARBITRAG,LODHA=G6 IS EQUITY,956.3375,C,4,ICICISEC,2,20
ARBITRAG,LT IS Equity,3910.0417,S,10150,ICICISEC,2,
ARBITRAG,LT=G6 IS EQUITY,3916.3189,C,58,ICICISEC,2,16
ARBITRAG,POLYC=G6 IS EQUITY,6919.1666,C,3,ICICISEC,2,20
ARBITRAG,POLYCAB IS Equity,6905.3893,S,375,ICICISEC,2,
ARBITRAG,TCS IS Equity,3171.2333,S,1050,ICICISEC,2,
ARBITRAG,TCS=G6 IS EQUITY,3176.6333,C,6,ICICISEC,2,17
ARBITRAG,TELX IS Equity,5363.3294,S,3600,ICICISEC,2,
ARBITRAG,TELX=G6 IS EQUITY,5370.0277,C,36,ICICISEC,2,12
ARBITRAG,UTCEM IS Equity,12461.9257,S,1750,ICICISEC,2,
ARBITRAG,UTCEM=G6 IS EQUITY,12482.8,C,35,ICICISEC,2,17
ARBITRAG,VBL IS Equity,462.6798,S,7875,ICICISEC,2,
ARBITRAG,VBL=G6 IS EQUITY,463.7785,C,7,ICICISEC,2,24
ARBITRAG,GCPL=G6 IS Equity,1155.3,H,1,ELARASEC,1,43.38
ARBITRAG,GCPL IN Equity,1150.3094,B,500,ELARASEC,1,
ARBITRAG,TMPV IN Equity,359.95,B,1600,ELARASEC,1,
ARBITRAG,TMPV=G6 IS Equity,361.625,H,2,ELARASEC,1,46.53
ARBITRAG,MUTH IN Equity,3450.3284,B,2750,ELARASEC,1,
ARBITRAG,MUTH=G6 IS Equity,3465.5,H,10,ELARASEC,1,43.97
ARBITRAG,INDIG=G6 IS Equity,4656.8913,H,23,ELARASEC,1,43.1
ARBITRAG,INDIGO IN Equity,4636.9058,B,3450,ELARASEC,1,
ARBITRAG,TELX IN Equity,5371.1519,S,3600,ELARASEC,2,-8.17
