Display Name,Account Code,Account Name,Name,Security Description,Position,Underlying Equivalent Position,A:Market Value Local,Price,Expiration Date,Issuer,Is Closed
ABCAP=G6 IS,ARBITRAG,209- ARBITRAGE FUND,ADITYA BIRLA CAP Feb26,ABCAP=G6,-1083,-3357300,-1087765200,324,02/24/2026,Aditya Birla Capital Ltd,0
ACEM=G6 IS,ARBITRAG,209- ARBITRAGE FUND,AMBUJA CEMENTS Feb26,ACEM=G6,-325,-341250,-174225120.8,510.5498047,02/24/2026,Ambuja Cements Ltd,0
ADANE=G6 IS,ARBITRAG,209- ARBITRAGE FUND,ADANI ENERGY SOL Feb26,ADANE=G6,-7,-4725,-4071532.269,861.6999512,02/24/2026,Adani Energy Solutions Ltd,0
ADSEZ=G6 IS,ARBITRAG,209- ARBITRAGE FUND,Adani Ports Feb26,ADSEZ=G6,-35,-16625,-22867687.5,1375.5,02/24/2026,Adani Ports & Special Economic,0
AMBER=G6 IS,ARBITRAG,209- ARBITRAGE FUND,AMBER ENTERPRISES Feb26,AMBER=G6,0,0,0,5878.5,02/24/2026,Amber Enterprises India Ltd,0
APAT=G6 IS,ARBITRAG,209- ARBITRAGE FUND,APL APOLLO TUBES Feb26,APAT=G6,-467,-163450,-336363739,2057.899902,02/24/2026,APL Apollo Tubes Ltd,0
APHS=G6 IS,ARBITRAG,209- ARBITRAGE FUND,Apollo Hosp Feb26,APHS=G6,-236,-29500,-203491000,6898,02/24/2026,Apollo Hospitals Enterprise Lt,0
ARBP=G6 IS,ARBITRAG,209- ARBITRAGE FUND,Aurobindo Pharma Feb26,ARBP=G6,-1248,-686400,-807480893,1176.399902,02/24/2026,Aurobindo Pharma Ltd,0
AUBAN=G6 IS,ARBITRAG,209- ARBITRAGE FUND,AU Small Fin Bank Feb26,AUBAN=G6,-269,-269000,-260607147.5,968.7998047,02/24/2026,AU Small Finance Bank Ltd,0
AXSB=G6 IS,ARBITRAG,209- ARBITRAGE FUND,Axis Bank Feb26,AXSB=G6,-928,-580000,-775227915,1336.599854,02/24/2026,Axis Bank Ltd,0
BAF=G6 IS,ARBITRAG,209- ARBITRAGE FUND,Bajaj Finance Ltd Feb26,BAF=G6,-1203,-902250,-820551218.4,909.4499512,02/24/2026,Bajaj Finance Ltd,0
BAF=H6 IS,ARBITRAG,209- ARBITRAGE FUND,Bajaj Finance Ltd Mar26,BAF=H6,-333,-249750,-228408813.7,914.5498047,03/30/2026,Bajaj Finance Ltd,0
BANDH=G6 IS,ARBITRAG,209- ARBITRAGE FUND,Bandhan Bank Ltd Feb26,BANDH=G6,-1307,-4705200,-696840148.7,148.1000061,02/24/2026,Bandhan Bank Ltd,0
BHART=G6 IS,ARBITRAG,209- ARBITRAGE FUND,Bharti Airtel Feb26,BHART=G6,-1357,-644575,-1259950721,1954.699951,02/24/2026,Bharti Airtel Ltd,0
BHE=G6 IS,ARBITRAG,209- ARBITRAGE FUND,BHARAT ELECTRON Feb26,BHE=G6,-1504,-2143200,-913003200,426,02/24/2026,Bharat Electronics Ltd,0
BHEL=G6 IS,ARBITRAG,209- ARBITRAGE FUND,BHARAT HEAVY ELE Feb26,BHEL=G6,-285,-748125,-190285598.3,254.3500061,02/24/2026,Bharat Heavy Electricals Ltd,0
BHFC=G6 IS,ARBITRAG,209- ARBITRAGE FUND,Bharat Forge Ltd Feb26,BHFC=G6,-10,-5000,-7056500.244,1411.300049,02/24/2026,Bharat Forge Ltd,0
BIOS=G6 IS,ARBITRAG,209- ARBITRAGE FUND,Biocon Ltd Feb26,BIOS=G6,-435,-1087500,-396447912.6,364.5498047,02/24/2026,Biocon Ltd,0
BJFIN=G6 IS,ARBITRAG,209- ARBITRAGE FUND,BAJAJ FINSERV LT Feb26,BJFIN=G6,-148,-37000,-70843898.19,1914.699951,02/24/2026,Bajaj Finserv Ltd,0
BOB=G6 IS,ARBITRAG,209- ARBITRAGE FUND,Bank of Baroda Feb26,BOB=G6,-1178,-3445650,-946174985.3,274.5998535,02/24/2026,Bank of Baroda,0
BOI=G6 IS,ARBITRAG,209- ARBITRAGE FUND,Bank of India Feb26,BOI=G6,-157,-816400,-123896859.5,151.7599945,02/24/2026,Bank of India,0
BRIT=G6 IS,ARBITRAG,209- ARBITRAGE FUND,Britannia Ind Ltd Feb26,BRIT=G6,-474,-59250,-341250375,5759.5,02/24/2026,Britannia Industries Ltd,0
BSE=G6 IS,ARBITRAG,209- ARBITRAGE FUND,BSE LTD Feb26,BSE=G6,-218,-81750,-217307846,2658.199951,02/24/2026,BSE Ltd,0
CAMS=G6 IS,ARBITRAG,209- ARBITRAGE FUND,COMPUTER AGE MAN Feb26,CAMS=G6,-11,-8250,-5600511.292,678.8498535,02/24/2026,Computer Age Management Servic,0
CCRI=G6 IS,ARBITRAG,209- ARBITRAGE FUND,CONTAINER CORP Feb26,CCRI=G6,-1150,-1437500,-723062500,503,02/24/2026,Container Corp Of India Ltd,0
CDSL=G6 IS,ARBITRAG,209- ARBITRAGE FUND,CENTRAL DEPOSITO Feb26,CDSL=G6,-11,-5225,-6410030.255,1226.800049,02/24/2026,Central Depository Services In,0
CGPOW=G6 IS,ARBITRAG,209- ARBITRAGE FUND,CG POWER AND IND Feb26,CGPOW=G6,-112,-95200,-56586870.7,594.3999023,02/24/2026,CG Power & Industrial Solution,0
CIFC=G6 IS,ARBITRAG,209- ARBITRAGE FUND,CHOLAMANDALAM IN Feb26,CIFC=G6,-239,-149375,-235892992.7,1579.199951,02/24/2026,Cholamandalam Investment and F,0
CIPLA=G6 IS,ARBITRAG,209- ARBITRAGE FUND,Cipla Limited Feb26,CIPLA=G6,-2,-750,-979799.9268,1306.399902,02/24/2026,Cipla Ltd/India,0
CROMP=G6 IS,ARBITRAG,209- ARBITRAGE FUND,CROMPTON GREAVES Feb26,CROMP=G6,-1654,-2977200,-658913925.8,221.3200073,02/24/2026,Crompton Greaves Consumer Elec,0
DABUR=G6 IS,ARBITRAG,209- ARBITRAGE FUND,Dabur India Ltd Feb26,DABUR=G6,-107,-133750,-66988667.91,500.8498535,02/24/2026,Dabur India Ltd,0
DALBH=G6 IS,ARBITRAG,209- ARBITRAGE FUND,DALMIA BHARAT Feb26,DALBH=G6,-252,-81900,-165847500,2025,02/24/2026,Dalmia Bharat Ltd,0
DELHV=G6 IS,ARBITRAG,209- ARBITRAGE FUND,DELHIVERY LTD Feb26,DELHV=G6,-269,-558175,-248555218.5,445.2998047,02/24/2026,Delhivery Ltd,0
DIVI=G6 IS,ARBITRAG,209- ARBITRAGE FUND,Divi's Lab Ltd Feb26,DIVI=G6,-1370,-137000,-815355500,5951.5,02/24/2026,Divi's Laboratories Ltd,0
DIXON=G6 IS,ARBITRAG,209- ARBITRAGE FUND,DIXON TECHNOLOGI Feb26,DIXON=G6,-278,-13900,-144156900,10371,02/24/2026,Dixon Technologies India Ltd,0
DLFU=G6 IS,ARBITRAG,209- ARBITRAGE FUND,DLF Ltd Feb26,DLFU=G6,-2399,-1979175,-1231145422,622.0498047,02/24/2026,DLF Ltd,0
DRRD=G6 IS,ARBITRAG,209- ARBITRAGE FUND,DR REDDY'S LABS Feb26,DRRD=G6,-151,-94375,-112060865.8,1187.399902,02/24/2026,Dr Reddy's Laboratories Ltd,0
EIM=G6 IS,ARBITRAG,209- ARBITRAGE FUND,Eicher Motors Feb26,EIM=G6,-90,-9000,-62235000,6915,02/24/2026,Eicher Motors Ltd,0
ETERN=G6 IS,ARBITRAG,209- ARBITRAGE FUND,ETERNAL LTD Feb26,ETERN=G6,-5271,-12782175,-3484419033,272.5998535,02/24/2026,Eternal Ltd,0
EXID=G6 IS,ARBITRAG,209- ARBITRAGE FUND,EXIDE Industries Feb26,EXID=G6,-540,-972000,-305402352.5,314.1999512,02/24/2026,Exide Industries Ltd,0
